id,name,height_ft,height_cm,position,team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_fumbles,passing_first_down,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_first_downs,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_first_downs,total_yards,games,offense_snaps,ypg
1643,Will Levis,"6'4""",76,QB,TEN,2023,149,255,1808,8,4,28,5,81,25,57,1,2,7,0,0,0,0,0,0,1865,9,528,207.22
1644,Will Mallory,"6'4""",76,TE,IND,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,207,0,1,11,207,11,151,18.82
1646,Willie Snead,"5'11""",71,WR,SF,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,14,0,0,0,14,2,32,7
1647,Xavier Gipson,"5'9""",69,WR,NYJ,2023,0,0,0,0,0,0,0,0,8,68,1,1,4,21,38,229,0,0,9,297,14,476,21.21
1649,Xavier Hutchinson,"6'3""",75,WR,HOU,2023,0,0,0,0,0,0,0,0,5,49,0,0,3,8,19,90,0,0,3,139,11,262,12.64
1651,Zach Charbonnet,"6'1""",73,RB,SEA,2023,0,0,0,0,0,0,0,0,108,462,1,0,32,33,40,209,0,0,7,671,16,478,41.94
1653,Zach Evans,"5'11""",71,RB,LA,2023,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,0,19,4,16,4.75
1657,Zach Pascal,"6'2""",74,WR,ARI,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,19,0,0,1,19,9,136,2.11
1659,Zach Wilson,"6'2""",74,QB,NYJ,2023,221,368,2271,8,7,46,7,104,36,211,0,4,7,0,0,0,0,0,0,2482,12,688,206.83
1661,Zack Moss,"5'9""",69,RB,IND,2023,0,0,0,0,0,0,0,0,183,794,5,0,43,27,37,192,2,0,10,986,14,531,70.43
1662,Zamir White,"6'0""",72,RB,LV,2023,0,0,0,0,0,0,0,0,104,451,1,1,19,15,19,98,0,0,4,549,13,227,42.23
1664,Zay Flowers,"5'9""",69,WR,BAL,2023,0,0,0,0,0,0,0,0,8,56,1,0,1,77,108,858,5,0,41,914,16,905,57.12
1665,Zay Jones,"6'2""",74,WR,JAX,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,34,64,321,2,0,14,321,9,475,35.67
