name,team,cluster_label
Vincent Trocheck,NYR,Offensive All Star
Brett Kulak,EDM,Bruiser
Wade Allison,PHI,Bruiser
Alex Vlasic,CHI,Support Player
Will Borgen,SEA,Bruiser
Luke Schenn,TOR,Bruiser
Shane Bowers,COL,Support Player
Max Comtois,ANA,Bruiser
Rasmus Sandin,WSH,Bruiser
Tyler Myers,VAN,Bruiser
Brian Dumoulin,PIT,Defensive Minded
Dominic Toninato,WPG,Support Player
Dennis Cholowski,NYI,Support Player
Bokondji Imama,ARI,Support Player
Nicolas Deslauriers,PHI,Bruiser
Scott Laughton,PHI,Bruiser
Nick DeSimone,CGY,Support Player
Robert Thomas,STL,Offensive All Star
Ty Smith,PIT,Support Player
David Krejci,BOS,Offensive All Star
Glenn Gawdin,ANA,Support Player
Evan Bouchard,EDM,Offensive All Star
Mike Hoffman,MTL,Defensive Minded
Alex Turcotte,LAK,Support Player
Oliver Bjorkstrand,SEA,Offensive All Star
Nick Perbix,TBL,Defensive Minded
Urho Vaakanainen,ANA,Support Player
Jesper Boqvist,NJD,Defensive Minded
Austin Czarnik,DET,Support Player
Adam Boqvist,CBJ,Defensive Minded
Phil Kessel,VGK,Defensive Minded
Michael Kesselring,ARI,Support Player
Filip Hallander,PIT,Support Player
Marc-Edouard Vlasic,SJS,Defensive Minded
Sam Carrick,ANA,Bruiser
Joey Anderson,CHI,Support Player
Akito Hirose,VAN,Support Player
Jamie Drysdale,ANA,Support Player
Dylan Larkin,DET,Offensive All Star
Anton Levtchi,FLA,Support Player
Adam Fox,NYR,Offensive All Star
Taylor Fedun,PIT,Support Player
Jake Evans,MTL,Defensive Minded
William Nylander,TOR,Offensive All Star
Fredrik Karlstrom,DAL,Support Player
Yanni Gourde,SEA,Offensive All Star
Juraj Slafkovsky,MTL,Support Player
Adam Beckman,MIN,Support Player
Samuel Girard,COL,Defensive Minded
Kevin Fiala,LAK,Offensive All Star
Jake Neighbours,STL,Support Player
Joel Edmundson,MTL,Bruiser
Hampus Lindholm,BOS,Offensive All Star
Tyler Bertuzzi,BOS,Defensive Minded
Justin Barron,MTL,Defensive Minded
Frank Vatrano,ANA,Offensive All Star
Egor Sokolov,OTT,Support Player
William Lockwood,VAN,Support Player
Ryan Graves,NJD,Defensive Minded
Zach Werenski,CBJ,Support Player
Hayden Hodgson,PHI,Support Player
Radim Zohorna,TOR,Support Player
Victor Soderstrom,ARI,Support Player
Mikey Anderson,LAK,Bruiser
Andre Burakovsky,SEA,Defensive Minded
Denis Malgin,COL,Defensive Minded
Charlie Coyle,BOS,Offensive All Star
Lukas Reichel,CHI,Support Player
Tyler Benson,EDM,Support Player
Elias Pettersson,VAN,Offensive All Star
Dylan Holloway,EDM,Defensive Minded
Liam Foudy,CBJ,Defensive Minded
Jonatan Berggren,DET,Defensive Minded
Mathieu Olivier,CBJ,Bruiser
Timothy Liljegren,TOR,Defensive Minded
Bo Horvat,NYI,Offensive All Star
Dante Fabbro,NSH,Bruiser
Spencer Stastney,NSH,Support Player
Miles Wood,NJD,Bruiser
Nikolai Knyzhov,SJS,Support Player
Riley Tufte,DAL,Support Player
Marcus Bjork,CBJ,Support Player
Tim Berni,CBJ,Bruiser
Riley Stillman,BUF,Defensive Minded
Frederick Gaudreau,MIN,Defensive Minded
Colin White,FLA,Defensive Minded
Garnet Hathaway,BOS,Bruiser
Alex Chiasson,DET,Support Player
Drew O'Connor,PIT,Defensive Minded
Elmer Soderblom,DET,Support Player
Warren Foegele,EDM,Offensive All Star
David Savard,MTL,Defensive Minded
Filip Forsberg,NSH,Defensive Minded
Mark Friedman,PIT,Support Player
Jonathan Huberdeau,CGY,Offensive All Star
Jordan Staal,CAR,Offensive All Star
Andrew Mangiapane,CGY,Offensive All Star
Isaak Phillips,CHI,Support Player
Pavel Dorofeyev,VGK,Support Player
Jacob Peterson,SJS,Support Player
Brock Faber,MIN,Support Player
Jean-Sebastien Dea,ARI,Support Player
Anthony Duclair,FLA,Support Player
Michael Pezzetta,MTL,Bruiser
Alexey Toropchenko,STL,Defensive Minded
William Dufour,NYI,Support Player
Alex Steeves,TOR,Support Player
Ryan Strome,ANA,Offensive All Star
Devon Toews,COL,Offensive All Star
Damon Severson,NJD,Defensive Minded
Tomas Tatar,NJD,Offensive All Star
Sam Reinhart,FLA,Offensive All Star
Colin Blackwell,CHI,Support Player
Mike Reilly,BOS,Support Player
Ryan Hartman,MIN,Offensive All Star
Ryan Lomberg,FLA,Bruiser
Brett Pesce,CAR,Defensive Minded
Mark Jankowski,NSH,Defensive Minded
Lukas Rousek,BUF,Support Player
MacKenzie Entwistle,CHI,Defensive Minded
Michael Carcone,ARI,Support Player
Kevin Rooney,CGY,Support Player
Adam Raska,SJS,Support Player
Luke Glendening,DAL,Defensive Minded
Josh Morrissey,WPG,Offensive All Star
Taylor Hall,BOS,Defensive Minded
Henrik Borgstrom,WSH,Support Player
Sean Durzi,LAK,Defensive Minded
Martin Kaut,SJS,Support Player
Josh Anderson,MTL,Bruiser
Erik Gustafsson,TOR,Defensive Minded
Brady Skjei,CAR,Offensive All Star
Corey Perry,TBL,Bruiser
Conor Sheary,WSH,Offensive All Star
Michael Eyssimont,TBL,Bruiser
Morgan Geekie,SEA,Defensive Minded
Kirill Marchenko,CBJ,Defensive Minded
Matt Boldy,MIN,Offensive All Star
Shane Wright,SEA,Support Player
Kevin Gravel,NSH,Support Player
Bobby McMann,TOR,Support Player
Brett Seney,CHI,Support Player
Klim Kostin,EDM,Bruiser
Ondrej Kase,CAR,Support Player
Kieffer Bellows,PHI,Support Player
Evgeny Kuznetsov,WSH,Offensive All Star
Scott Mayfield,NYI,Bruiser
Dillon Dube,CGY,Offensive All Star
Josh Bailey,NYI,Defensive Minded
Alex Wennberg,SEA,Offensive All Star
Buddy Robinson,CHI,Support Player
Logan O'Connor,COL,Bruiser
Kaedan Korczak,VGK,Support Player
Jesse Ylonen,MTL,Support Player
Dylan Cozens,BUF,Offensive All Star
Josh Norris,OTT,Support Player
Lucas Condotta,MTL,Support Player
Cole Perfetti,WPG,Defensive Minded
Boris Katchouk,CHI,Defensive Minded
Ilya Mikheyev,VAN,Defensive Minded
Scott Harrington,ANA,Support Player
Mitchell Marner,TOR,Offensive All Star
Braden Schneider,NYR,Bruiser
Mikko Rantanen,COL,Offensive All Star
Jansen Harkins,WPG,Support Player
Joel Hanley,DAL,Support Player
Matthew Knies,TOR,Support Player
Matthew Tkachuk,FLA,Offensive All Star
Evgeni Malkin,PIT,Offensive All Star
Artturi Lehkonen,COL,Defensive Minded
Johnny Gaudreau,CBJ,Offensive All Star
Egor Afanasyev,NSH,Support Player
Gavin Bayreuther,CBJ,Defensive Minded
Jordan Gross,NSH,Support Player
Anton Stralman,BOS,Support Player
Jordie Benn,TOR,Support Player
Anthony Richard,MTL,Support Player
Robert Bortuzzo,STL,Support Player
Mark Scheifele,WPG,Offensive All Star
Dougie Hamilton,NJD,Offensive All Star
Tucker Poolman,VAN,Support Player
Kyle Connor,WPG,Offensive All Star
Dylan Coghlan,CAR,Support Player
Nick Jensen,WSH,Offensive All Star
Brenden Dillon,WPG,Bruiser
Justin Richards,CBJ,Support Player
Chris Tierney,MTL,Support Player
Jake Leschyshyn,NYR,Support Player
Leon Draisaitl,EDM,Offensive All Star
Maxence Guenette,OTT,Support Player
Oliver Ekman-Larsson,VAN,Defensive Minded
Phillip Danault,LAK,Offensive All Star
Andy Andreoff,NYI,Support Player
Stanislav Svozil,CBJ,Support Player
Alexander Kerfoot,TOR,Defensive Minded
Steven Fogarty,MIN,Support Player
Phillip Di Giuseppe,VAN,Support Player
Ryan Murray,EDM,Support Player
Victor Olofsson,BUF,Defensive Minded
Mason Marchment,DAL,Bruiser
Nikolaj Ehlers,WPG,Defensive Minded
Carter Verhaeghe,FLA,Offensive All Star
Ryan O'Reilly,TOR,Defensive Minded
Jack Drury,CAR,Support Player
Adam Ruzicka,CGY,Defensive Minded
Reese Johnson,CHI,Bruiser
Justin Kirkland,ANA,Support Player
Damien Giroux,MIN,Support Player
Eric Staal,FLA,Offensive All Star
Niko Mikkola,NYR,Bruiser
David Kampf,TOR,Offensive All Star
Kyle Palmieri,NYI,Defensive Minded
Ryan Carpenter,NYR,Support Player
Erik Karlsson,SJS,Offensive All Star
Victor Mete,TOR,Support Player
Carson Soucy,SEA,Bruiser
Jacob Trouba,NYR,Bruiser
Brayden Point,TBL,Offensive All Star
Philipp Kurashev,CHI,Defensive Minded
Jason Zucker,PIT,Offensive All Star
Matt Dumba,MIN,Bruiser
Zach Bogosian,TBL,Defensive Minded
Johnathan Kovacevic,MTL,Bruiser
Rudolfs Balcers,TBL,Support Player
Yakov Trenin,NSH,Bruiser
Wyatt Johnston,DAL,Offensive All Star
Nicolas Hague,VGK,Bruiser
Dakota Joshua,VAN,Bruiser
Mason McTavish,ANA,Offensive All Star
Drake Caggiula,PIT,Support Player
Marc McLaughlin,BOS,Support Player
Andrew Copp,DET,Offensive All Star
Jakub Vrana,STL,Support Player
Gustav Lindstrom,DET,Support Player
Sean Farrell,MTL,Support Player
Joe Snively,WSH,Support Player
Justin Holl,TOR,Bruiser
Tage Thompson,BUF,Offensive All Star
Ryan Nugent-Hopkins,EDM,Offensive All Star
James van Riemsdyk,PHI,Defensive Minded
Jacob Larsson,OTT,Support Player
Viktor Arvidsson,LAK,Offensive All Star
Claude Giroux,OTT,Offensive All Star
Matty Beniers,SEA,Offensive All Star
Dmitry Orlov,BOS,Defensive Minded
Philip Broberg,EDM,Support Player
Oskar Sundqvist,MIN,Defensive Minded
Charlie McAvoy,BOS,Defensive Minded
Arthur Kaliyev,LAK,Defensive Minded
Michael Amadio,VGK,Defensive Minded
Daniil Miromanov,VGK,Support Player
Dylan Samberg,WPG,Defensive Minded
Zack Kassian,ARI,Support Player
Jared Spurgeon,MIN,Defensive Minded
Rourke Chartier,OTT,Support Player
Joel Kiviranta,DAL,Bruiser
Sheldon Rempal,VGK,Support Player
Noah Hanifin,CGY,Defensive Minded
Kevin Shattenkirk,ANA,Bruiser
Zac Dalpe,FLA,Support Player
Christian Wolanin,VAN,Support Player
Jonah Gadjovich,SJS,Bruiser
Anton Lundell,FLA,Defensive Minded
Hudson Fasching,NYI,Defensive Minded
Jake Muzzin,TOR,Support Player
Andrei Kuzmenko,VAN,Offensive All Star
Mark Kastelic,OTT,Bruiser
Troy Terry,ANA,Offensive All Star
John Tavares,TOR,Offensive All Star
J.T. Miller,VAN,Offensive All Star
Darnell Nurse,EDM,Offensive All Star
Cole Guttman,CHI,Support Player
Sebastian Aho,CAR,Offensive All Star
Maxime Lajoie,CAR,Support Player
Dennis Gilbert,CGY,Support Player
Calen Addison,MIN,Support Player
Jonathan Gruden,PIT,Support Player
Samuel Fagemo,LAK,Support Player
Alexander Barabanov,SJS,Offensive All Star
Jeremy Lauzon,NSH,Bruiser
Samuel Knazko,CBJ,Support Player
Oskar Steen,BOS,Support Player
Jake Livingstone,NSH,Support Player
Hugh McGing,STL,Support Player
Jordan Kyrou,STL,Offensive All Star
Jake DeBrusk,BOS,Defensive Minded
Marco Scandella,STL,Support Player
Yegor Chinakhov,CBJ,Support Player
Martin Necas,CAR,Offensive All Star
Tyson Foerster,PHI,Support Player
Jan Jenik,ARI,Support Player
Josh Mahura,FLA,Defensive Minded
Ben Harpur,NYR,Support Player
Tom Wilson,WSH,Bruiser
Gustav Nyquist,MIN,Defensive Minded
Max Willman,PHI,Support Player
Barclay Goodrow,NYR,Bruiser
Aidan McDonough,VAN,Support Player
Barrett Hayton,ARI,Offensive All Star
Alex Pietrangelo,VGK,Offensive All Star
Nick Blankenburg,CBJ,Support Player
Jesper Froden,SEA,Support Player
Fredrik Olofsson,DAL,Support Player
Chris Tanev,CGY,Defensive Minded
Marco Kasper,DET,Support Player
Jakob Chychrun,OTT,Defensive Minded
David Pastrnak,BOS,Offensive All Star
Alex Tuch,BUF,Offensive All Star
Daniel Sprong,SEA,Offensive All Star
Auston Matthews,TOR,Offensive All Star
Jeffrey Viel,SJS,Support Player
Lawrence Pilut,BUF,Support Player
Matthew Highmore,STL,Support Player
Chandler Stephenson,VGK,Offensive All Star
Nicholas Robertson,TOR,Support Player
Sampo Ranta,COL,Support Player
Derek Stepan,CAR,Defensive Minded
Frederic Allard,MTL,Support Player
Nathan Walker,STL,Defensive Minded
Mario Ferraro,SJS,Defensive Minded
Evander Kane,EDM,Bruiser
Andrew Peeke,CBJ,Bruiser
Zach Sanford,NSH,Support Player
Vitali Kravtsov,VAN,Support Player
