playerId,I_F_goals,I_F_primaryAssists,I_F_points,I_F_shotsOnGoal,faceoffsWon,penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,PC1,PC2,cluster,cluster_label
8481058,5.0,3.0,14.0,38.0,3.0,0.0,13.0,10.0,20.0,-1.1569769189901444,-0.8880279371741333,3,Support Player
8481528,21.0,13.0,39.0,148.0,411.0,31.0,51.0,23.0,12.0,3.434138764589548,-1.6393546848470117,2,Offensive All Star
8480064,2.0,0.0,3.0,14.0,23.0,6.0,5.0,5.0,3.0,-2.468946709343416,-0.5424764923822186,3,Support Player
8483549,1.0,0.0,1.0,5.0,4.0,0.0,3.0,0.0,0.0,-2.967345276255737,-0.6397935209302648,3,Support Player
8482149,5.0,8.0,23.0,73.0,3.0,16.0,32.0,17.0,14.0,0.07402186877881789,-0.5061750531194346,1,Defensive Minded
8479383,5.0,6.0,14.0,55.0,3.0,25.0,80.0,19.0,14.0,-0.11507319574831558,0.5327973628122268,1,Defensive Minded
8481624,12.0,8.0,25.0,78.0,2.0,2.0,13.0,12.0,8.0,0.05817538316743907,-1.445323798796878,1,Defensive Minded
8476449,3.0,3.0,10.0,31.0,0.0,10.0,51.0,5.0,10.0,-1.5127448109126063,0.009794132983418297,3,Support Player
8478483,15.0,28.0,53.0,116.0,0.0,24.0,48.0,77.0,65.0,6.1039876686633265,-1.6542132797528113,2,Offensive All Star
8482073,5.0,5.0,16.0,76.0,0.0,16.0,141.0,20.0,51.0,0.964827225806162,1.181369779230447,0,Bruiser
8478420,32.0,14.0,53.0,204.0,155.0,60.0,70.0,55.0,33.0,6.336181020957747,-0.6168323188073648,2,Offensive All Star
8478424,3.0,1.0,5.0,18.0,2.0,12.0,16.0,7.0,8.0,-1.9988841240773012,-0.24538163892302683,3,Support Player
8477810,0.0,1.0,2.0,14.0,0.0,15.0,24.0,3.0,7.0,-2.349662044638682,0.1206400856357848,3,Support Player
8482720,0.0,1.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0,-2.8800249991887172,-0.5886876257389687,3,Support Player
8479314,22.0,22.0,58.0,194.0,9.0,62.0,64.0,33.0,43.0,5.8220180826100165,-0.05505559235005276,2,Offensive All Star
8471215,15.0,20.0,44.0,154.0,394.0,52.0,45.0,75.0,72.0,6.638811334101938,-1.184132729083472,2,Offensive All Star
8477476,10.0,8.0,27.0,103.0,2.0,24.0,79.0,20.0,8.0,0.9497636221810887,0.048450725926140005,1,Defensive Minded
8476346,13.0,15.0,39.0,157.0,0.0,12.0,5.0,45.0,34.0,3.1425812727891165,-1.791369585850058,2,Offensive All Star
8481585,1.0,0.0,1.0,19.0,0.0,2.0,23.0,1.0,2.0,-2.6938108178544593,-0.3228504020160944,3,Support Player
8479945,2.0,4.0,13.0,56.0,0.0,21.0,45.0,8.0,9.0,-1.0379908231231043,0.23264452505531164,1,Defensive Minded
8480913,2.0,0.0,2.0,20.0,0.0,2.0,10.0,2.0,8.0,-2.4928206716149544,-0.49849811985722847,3,Support Player
8471873,0.0,0.0,0.0,3.0,0.0,2.0,12.0,2.0,2.0,-2.92082579365888,-0.41683215618769726,3,Support Player
8474818,1.0,1.0,2.0,10.0,0.0,10.0,28.0,0.0,12.0,-2.343449457200129,0.024023237623436684,3,Support Player
8478409,3.0,1.0,5.0,13.0,1.0,6.0,25.0,2.0,2.0,-2.3433168039963617,-0.32581487541200566,3,Support Player
8474145,2.0,2.0,5.0,29.0,0.0,29.0,56.0,5.0,12.0,-1.4852039157903953,0.843689529509896,3,Support Player
8476460,25.0,7.0,39.0,127.0,441.0,31.0,42.0,52.0,34.0,4.311146056490509,-1.867149809023116,2,Offensive All Star
8476462,13.0,11.0,36.0,208.0,0.0,44.0,58.0,18.0,65.0,3.7749245252245958,0.4920675879961654,2,Offensive All Star
8477359,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,-2.932882966706,-0.6466303225967708,3,Support Player
8478398,20.0,14.0,42.0,170.0,2.0,16.0,42.0,36.0,29.0,3.530506525194267,-1.404853762670956,2,Offensive All Star
8479639,0.0,2.0,3.0,24.0,0.0,2.0,10.0,2.0,4.0,-2.4936720992930437,-0.5357855389064367,3,Support Player
8475324,5.0,14.0,28.0,99.0,0.0,18.0,86.0,32.0,54.0,2.3250099202823082,0.046124339201157105,2,Offensive All Star
8475455,2.0,9.0,18.0,78.0,0.0,60.0,177.0,13.0,34.0,1.3396639290950882,2.9811806463260515,0,Bruiser
8482179,0.0,0.0,1.0,0.0,5.0,0.0,4.0,1.0,0.0,-3.0329658265025645,-0.6053850350061274,3,Support Player
8476919,3.0,3.0,9.0,19.0,89.0,6.0,14.0,13.0,11.0,-1.4660880029996406,-0.8128472551226635,3,Support Player
8479991,0.0,0.0,0.0,30.0,110.0,8.0,55.0,4.0,4.0,-2.20271756520913,0.04928163717528998,3,Support Player
